code,occ_title,degree_required,work_exp_required,fod1p,major,major_category,total,employed,emp_full_time_year_round,unemployed,unemployment_rate,median,p25th,p75th,occ_industry
25-2021,"Elementary school teachers, except special education",Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-2022,"Middle school teachers, except special and career/technical education",Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-2023,"Career/technical education teachers, middle school",Bachelor's degree,Less than 5 years,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-2031,"Secondary school teachers, except special and career/technical education",Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-2032,"Career/technical education teachers, secondary school",Bachelor's degree,Less than 5 years,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-2051,"Special education teachers, preschool",Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-2052,"Special education teachers, kindergarten and elementary school",Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-2059,"Special education teachers, all other",Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-3011,Adult basic and secondary education and literacy teachers and instructors,Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-3021,Self-enrichment education teachers,High school diploma or equivalent,Less than 5 years,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-4011,Archivists,Master's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-4012,Curators,Master's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-4013,Museum technicians and conservators,Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-4031,Library technicians,Postsecondary nondegree award,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-9021,Farm and home management advisors,Master's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-9031,Instructional coordinators,Master's degree,5 years or more,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
25-9099,"Education, training, and library workers, all other",Bachelor's degree,None,3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0,Educational Instruction and Library Occupations
27-1011,Art directors,Bachelor's degree,5 years or more,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1012,Craft artists,No formal educational credential,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1013,"Fine artists, including painters, sculptors, and illustrators",Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1014,Multimedia artists and animators,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1019,"Artists and related workers, all other",No formal educational credential,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1021,Commercial and industrial designers,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1022,Fashion designers,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1023,Floral designers,High school diploma or equivalent,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1024,Graphic designers,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1025,Interior designers,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1026,Merchandise displayers and window trimmers,High school diploma or equivalent,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1027,Set and exhibit designers,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1029,"Designers, all other",Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2011,Actors,"Some college, no degree",None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2012,Producers and directors,Bachelor's degree,Less than 5 years,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2021,Athletes and sports competitors,No formal educational credential,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2022,Coaches and scouts,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2023,"Umpires, referees, and other sports officials",High school diploma or equivalent,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2031,Dancers,No formal educational credential,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2032,Choreographers,High school diploma or equivalent,5 years or more,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2041,Music directors and composers,Bachelor's degree,Less than 5 years,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2042,Musicians and singers,No formal educational credential,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3011,Radio and television announcers,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3031,Public relations specialists,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3041,Editors,Bachelor's degree,Less than 5 years,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3042,Technical writers,Bachelor's degree,Less than 5 years,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3043,Writers and authors,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3091,Interpreters and translators,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3099,"Media and communication workers, all other",High school diploma or equivalent,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4011,Audio and video equipment technicians,Postsecondary nondegree award,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4012,Broadcast technicians,Associate's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4014,Sound engineering technicians,Postsecondary nondegree award,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4021,Photographers,High school diploma or equivalent,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4031,"Camera operators, television, video, and motion picture",Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4032,Film and video editors,Bachelor's degree,None,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,50000,39000,81000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
45-1011,"First-line supervisors of farming, fishing, and forestry workers",High school diploma or equivalent,Less than 5 years,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-2011,Agricultural inspectors,Bachelor's degree,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-2021,Animal breeders,High school diploma or equivalent,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-2041,"Graders and sorters, agricultural products",No formal educational credential,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-2091,Agricultural equipment operators,No formal educational credential,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",No formal educational credential,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-2093,"Farmworkers, farm, ranch, and aquacultural animals",No formal educational credential,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-2099,"Agricultural workers, all other",No formal educational credential,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-4011,Forest and conservation workers,High school diploma or equivalent,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-4021,Fallers,High school diploma or equivalent,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-4022,Logging equipment operators,High school diploma or equivalent,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-4023,Log graders and scalers,High school diploma or equivalent,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
45-4029,"Logging workers, all other",High school diploma or equivalent,None,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
