Occupation Code,Occupation Title,Annual Median Wage,Occupation Group
25-4000,"Librarians, Curators, and Archivists",49030,Educational Instruction and Library Occupations
25-4010,"Archivists, Curators, and Museum Technicians",49850,Educational Instruction and Library Occupations
25-4011,Archivists,53950,Educational Instruction and Library Occupations
25-4012,Curators,54570,Educational Instruction and Library Occupations
25-4013,Museum Technicians and Conservators,44430,Educational Instruction and Library Occupations
25-4020,Librarians and Media Collections Specialists,59500,Educational Instruction and Library Occupations
25-4022,Librarians and Media Collections Specialists,59500,Educational Instruction and Library Occupations
25-4030,Library Technicians,34900,Educational Instruction and Library Occupations
25-4031,Library Technicians,34900,Educational Instruction and Library Occupations
25-9000,Other Educational Instruction and Library Occupations,29910,Educational Instruction and Library Occupations
25-9020,Farm and Home Management Educators,49710,Educational Instruction and Library Occupations
25-9021,Farm and Home Management Educators,49710,Educational Instruction and Library Occupations
25-9030,Instructional Coordinators,66290,Educational Instruction and Library Occupations
25-9031,Instructional Coordinators,66290,Educational Instruction and Library Occupations
25-9040,Teaching Assistants,28210,Educational Instruction and Library Occupations
25-9044,"Teaching Assistants, Postsecondary",32080,Educational Instruction and Library Occupations
25-9045,"Teaching Assistants, Except Postsecondary",27920,Educational Instruction and Library Occupations
25-9090,Miscellaneous Educational Instruction and Library Workers,40310,Educational Instruction and Library Occupations
25-9099,"Educational Instruction and Library Workers, All Other",40310,Educational Instruction and Library Occupations
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",51150,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1000,Art and Design Workers,48130,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1010,Artists and Related Workers,77250,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1011,Art Directors,94220,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1012,Craft Artists,34710,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",50550,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1014,Special Effects Artists and Animators,75270,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1019,"Artists and Related Workers, All Other",64490,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1020,Designers,44400,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1021,Commercial and Industrial Designers,68890,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1022,Fashion Designers,73790,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1023,Floral Designers,28040,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1024,Graphic Designers,52110,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1025,Interior Designers,56040,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1026,Merchandise Displayers and Window Trimmers,29460,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1027,Set and Exhibit Designers,54600,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-1029,"Designers, All Other",64620,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2000,"Entertainers and Performers, Sports and Related Workers",45250,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2010,"Actors, Producers, and Directors",63110,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2011,Actors,,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2012,Producers and Directors,74420,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2020,"Athletes, Coaches, Umpires, and Related Workers",34680,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2021,Athletes and Sports Competitors,51370,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2022,Coaches and Scouts,34840,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2023,"Umpires, Referees, and Other Sports Officials",28550,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2030,Dancers and Choreographers,38850,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2031,Dancers,,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2032,Choreographers,46330,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2040,"Musicians, Singers, and Related Workers",,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2041,Music Directors and Composers,51670,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-2042,Musicians and Singers,,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3000,Media and Communication Workers,59230,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3010,Broadcast Announcers and Radio Disc Jockeys,34630,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3011,Broadcast Announcers and Radio Disc Jockeys,34630,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3020,"News Analysts, Reporters and Journalists",46270,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3023,"News Analysts, Reporters, and Journalists",46270,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3030,Public Relations Specialists,61150,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3031,Public Relations Specialists,61150,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3040,Writers and Editors,65120,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3041,Editors,61370,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3042,Technical Writers,72850,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3043,Writers and Authors,63200,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3090,Miscellaneous Media and Communication Workers,52310,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3091,Interpreters and Translators,51830,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3092,Court Reporters and Simultaneous Captioners,60130,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-3099,"Media and Communication Workers, All Other",47580,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4000,Media and Communication Equipment Workers,48270,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4011,Audio and Video Technicians,45910,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4012,Broadcast Technicians,40570,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4014,Sound Engineering Technicians,54740,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4020,Photographers,36280,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4021,Photographers,36280,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4030,"Television, Video, and Film Camera Operators and Editors",59810,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4031,"Camera Operators, Television, Video, and Film",55160,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4032,Film and Video Editors,63780,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",73460,"Arts, Design, Entertainment, Sports, and Media Occupations"
29-0000,Healthcare Practitioners and Technical Occupations,68190,Healthcare Practitioners and Technical Occupations
29-1000,Healthcare Diagnosing or Treating Practitioners,82380,Healthcare Practitioners and Technical Occupations
29-1010,Chiropractors,70340,Healthcare Practitioners and Technical Occupations
29-1011,Chiropractors,70340,Healthcare Practitioners and Technical Occupations
29-1020,Dentists,159200,Healthcare Practitioners and Technical Occupations
29-1021,"Dentists, General",155600,Healthcare Practitioners and Technical Occupations
29-1022,Oral and Maxillofacial Surgeons,,Healthcare Practitioners and Technical Occupations
29-1023,Orthodontists,,Healthcare Practitioners and Technical Occupations
29-1024,Prosthodontists,,Healthcare Practitioners and Technical Occupations
29-1029,"Dentists, All Other Specialists",147220,Healthcare Practitioners and Technical Occupations
29-1030,Dietitians and Nutritionists,61270,Healthcare Practitioners and Technical Occupations
29-1031,Dietitians and Nutritionists,61270,Healthcare Practitioners and Technical Occupations
29-1040,Optometrists,115250,Healthcare Practitioners and Technical Occupations
29-1041,Optometrists,115250,Healthcare Practitioners and Technical Occupations
29-1050,Pharmacists,128090,Healthcare Practitioners and Technical Occupations
29-1051,Pharmacists,128090,Healthcare Practitioners and Technical Occupations
29-1070,Physician Assistants,112260,Healthcare Practitioners and Technical Occupations
29-1071,Physician Assistants,112260,Healthcare Practitioners and Technical Occupations
29-1080,Podiatrists,126240,Healthcare Practitioners and Technical Occupations
29-1081,Podiatrists,126240,Healthcare Practitioners and Technical Occupations
29-1120,Therapists,78790,Healthcare Practitioners and Technical Occupations
29-1122,Occupational Therapists,84950,Healthcare Practitioners and Technical Occupations
29-1123,Physical Therapists,89440,Healthcare Practitioners and Technical Occupations
29-1124,Radiation Therapists,85560,Healthcare Practitioners and Technical Occupations
29-1125,Recreational Therapists,48220,Healthcare Practitioners and Technical Occupations
29-1126,Respiratory Therapists,61330,Healthcare Practitioners and Technical Occupations
29-1127,Speech-Language Pathologists,79120,Healthcare Practitioners and Technical Occupations
29-1128,Exercise Physiologists,49170,Healthcare Practitioners and Technical Occupations
29-1129,"Therapists, All Other",52650,Healthcare Practitioners and Technical Occupations
29-1130,Veterinarians,95460,Healthcare Practitioners and Technical Occupations
29-1131,Veterinarians,95460,Healthcare Practitioners and Technical Occupations
29-1140,Registered Nurses,73300,Healthcare Practitioners and Technical Occupations
29-1141,Registered Nurses,73300,Healthcare Practitioners and Technical Occupations
29-1150,Nurse Anesthetists,174790,Healthcare Practitioners and Technical Occupations
29-1151,Nurse Anesthetists,174790,Healthcare Practitioners and Technical Occupations
29-1160,Nurse Midwives,105030,Healthcare Practitioners and Technical Occupations
29-1161,Nurse Midwives,105030,Healthcare Practitioners and Technical Occupations
29-1170,Nurse Practitioners,109820,Healthcare Practitioners and Technical Occupations
29-1171,Nurse Practitioners,109820,Healthcare Practitioners and Technical Occupations
29-1180,Audiologists,77600,Healthcare Practitioners and Technical Occupations
29-1181,Audiologists,77600,Healthcare Practitioners and Technical Occupations
29-1211,Anesthesiologists,,Healthcare Practitioners and Technical Occupations
29-1215,Family Medicine Physicians,205590,Healthcare Practitioners and Technical Occupations
29-1216,General Internal Medicine Physicians,201590,Healthcare Practitioners and Technical Occupations
29-1218,Obstetricians and Gynecologists,,Healthcare Practitioners and Technical Occupations
29-1221,"Pediatricians, General",175310,Healthcare Practitioners and Technical Occupations
29-1223,Psychiatrists,,Healthcare Practitioners and Technical Occupations
29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",206500,Healthcare Practitioners and Technical Occupations
29-1248,"Surgeons, Except Ophthalmologists",,Healthcare Practitioners and Technical Occupations
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,76190,Healthcare Practitioners and Technical Occupations
29-1292,Dental Hygienists,76220,Healthcare Practitioners and Technical Occupations
29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",75640,Healthcare Practitioners and Technical Occupations
29-2000,Health Technologists and Technicians,44380,Healthcare Practitioners and Technical Occupations
29-2031,Cardiovascular Technologists and Technicians,57720,Healthcare Practitioners and Technical Occupations
29-2032,Diagnostic Medical Sonographers,74320,Healthcare Practitioners and Technical Occupations
29-2033,Nuclear Medicine Technologists,77950,Healthcare Practitioners and Technical Occupations
29-2034,Radiologic Technologists and Technicians,60510,Healthcare Practitioners and Technical Occupations
29-2035,Magnetic Resonance Imaging Technologists,73410,Healthcare Practitioners and Technical Occupations
29-2050,Health Practitioner Support Technologists and Technicians,35610,Healthcare Practitioners and Technical Occupations
29-2051,Dietetic Technicians,28400,Healthcare Practitioners and Technical Occupations
29-2052,Pharmacy Technicians,33950,Healthcare Practitioners and Technical Occupations
29-2053,Psychiatric Technicians,33780,Healthcare Practitioners and Technical Occupations
29-2055,Surgical Technologists,48300,Healthcare Practitioners and Technical Occupations
29-2056,Veterinary Technologists and Technicians,35320,Healthcare Practitioners and Technical Occupations
29-2057,Ophthalmic Medical Technicians,36940,Healthcare Practitioners and Technical Occupations
29-2060,Licensed Practical and Licensed Vocational Nurses,47480,Healthcare Practitioners and Technical Occupations
29-2061,Licensed Practical and Licensed Vocational Nurses,47480,Healthcare Practitioners and Technical Occupations
29-2080,"Opticians, Dispensing",37840,Healthcare Practitioners and Technical Occupations
29-2081,"Opticians, Dispensing",37840,Healthcare Practitioners and Technical Occupations
29-2091,Orthotists and Prosthetists,68410,Healthcare Practitioners and Technical Occupations
29-2092,Hearing Aid Specialists,53420,Healthcare Practitioners and Technical Occupations
29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",42630,Healthcare Practitioners and Technical Occupations
29-9000,Other Healthcare Practitioners and Technical Occupations,49770,Healthcare Practitioners and Technical Occupations
29-9091,Athletic Trainers,48440,Healthcare Practitioners and Technical Occupations
29-9092,Genetic Counselors,81880,Healthcare Practitioners and Technical Occupations
29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",49850,Healthcare Practitioners and Technical Occupations
31-0000,Healthcare Support Occupations,28470,Healthcare Support Occupations
31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",26380,Healthcare Support Occupations
31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides",29680,Healthcare Support Occupations
31-1131,Nursing Assistants,29660,Healthcare Support Occupations
31-1132,Orderlies,28980,Healthcare Support Occupations
31-1133,Psychiatric Aides,31110,Healthcare Support Occupations
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,52910,Healthcare Support Occupations
31-2010,Occupational Therapy Assistants and Aides,59200,Healthcare Support Occupations
31-2011,Occupational Therapy Assistants,61510,Healthcare Support Occupations
31-2012,Occupational Therapy Aides,29230,Healthcare Support Occupations
31-2020,Physical Therapist Assistants and Aides,48990,Healthcare Support Occupations
31-2021,Physical Therapist Assistants,58790,Healthcare Support Occupations
31-2022,Physical Therapist Aides,27000,Healthcare Support Occupations
31-9000,Other Healthcare Support Occupations,35860,Healthcare Support Occupations
31-9010,Massage Therapists,42820,Healthcare Support Occupations
31-9011,Massage Therapists,42820,Healthcare Support Occupations
31-9090,Miscellaneous Healthcare Support Occupations,35630,Healthcare Support Occupations
31-9091,Dental Assistants,40080,Healthcare Support Occupations
31-9092,Medical Assistants,34800,Healthcare Support Occupations
31-9093,Medical Equipment Preparers,37440,Healthcare Support Occupations
31-9094,Medical Transcriptionists,33380,Healthcare Support Occupations
31-9095,Pharmacy Aides,27850,Healthcare Support Occupations
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,28590,Healthcare Support Occupations
31-9097,Phlebotomists,35510,Healthcare Support Occupations
31-9099,"Healthcare Support Workers, All Other",38460,Healthcare Support Occupations
33-0000,Protective Service Occupations,41580,Protective Service Occupations
33-1000,Supervisors of Protective Service Workers,71460,Protective Service Occupations
33-1010,First-Line Supervisors of Law Enforcement Workers,82990,Protective Service Occupations
33-1011,First-Line Supervisors of Correctional Officers,63730,Protective Service Occupations
33-1012,First-Line Supervisors of Police and Detectives,91090,Protective Service Occupations
33-1020,First-Line Supervisors of Firefighting and Prevention Workers,77800,Protective Service Occupations
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,77800,Protective Service Occupations
33-2000,Firefighting and Prevention Workers,51330,Protective Service Occupations
33-2010,Firefighters,50850,Protective Service Occupations
33-2011,Firefighters,50850,Protective Service Occupations
33-2020,Fire Inspectors,60230,Protective Service Occupations
33-2021,Fire Inspectors and Investigators,61660,Protective Service Occupations
33-2022,Forest Fire Inspectors and Prevention Specialists,45270,Protective Service Occupations
33-3000,Law Enforcement Workers,57030,Protective Service Occupations
33-3010,"Bailiffs, Correctional Officers, and Jailers",45300,Protective Service Occupations
33-3011,Bailiffs,47830,Protective Service Occupations
33-3012,Correctional Officers and Jailers,45180,Protective Service Occupations
33-3020,Detectives and Criminal Investigators,83170,Protective Service Occupations
33-3021,Detectives and Criminal Investigators,83170,Protective Service Occupations
33-3030,Fish and Game Wardens,57500,Protective Service Occupations
33-3031,Fish and Game Wardens,57500,Protective Service Occupations
33-3040,Parking Enforcement Workers,40920,Protective Service Occupations
33-3041,Parking Enforcement Workers,40920,Protective Service Occupations
33-3050,Police Officers,63240,Protective Service Occupations
33-3051,Police and Sheriff's Patrol Officers,63150,Protective Service Occupations
33-3052,Transit and Railroad Police,71820,Protective Service Occupations
33-9000,Other Protective Service Workers,29770,Protective Service Occupations
33-9010,Animal Control Workers,37590,Protective Service Occupations
33-9011,Animal Control Workers,37590,Protective Service Occupations
33-9020,Private Detectives and Investigators,50510,Protective Service Occupations
33-9021,Private Detectives and Investigators,50510,Protective Service Occupations
33-9030,Security Guards and Gambling Surveillance Officers,29710,Protective Service Occupations
33-9031,Gambling Surveillance Officers and Gambling Investigators,34190,Protective Service Occupations
33-9032,Security Guards,29680,Protective Service Occupations
33-9090,Miscellaneous Protective Service Workers,28660,Protective Service Occupations
33-9091,Crossing Guards and Flaggers,29760,Protective Service Occupations
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",23420,Protective Service Occupations
33-9093,Transportation Security Screeners,41770,Protective Service Occupations
33-9098,"School Bus Monitors and Protective Service Workers, All Other",30990,Protective Service Occupations
35-0000,Food Preparation and Serving Related Occupations,24220,Food Preparation and Serving Related Occupations
35-1000,Supervisors of Food Preparation and Serving Workers,34830,Food Preparation and Serving Related Occupations
35-1010,Supervisors of Food Preparation and Serving Workers,34830,Food Preparation and Serving Related Occupations
35-1011,Chefs and Head Cooks,51530,Food Preparation and Serving Related Occupations
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,33400,Food Preparation and Serving Related Occupations
35-2000,Cooks and Food Preparation Workers,25890,Food Preparation and Serving Related Occupations
35-2010,Cooks,26360,Food Preparation and Serving Related Occupations
35-2011,"Cooks, Fast Food",23510,Food Preparation and Serving Related Occupations
35-2012,"Cooks, Institution and Cafeteria",27750,Food Preparation and Serving Related Occupations
35-2013,"Cooks, Private Household",37870,Food Preparation and Serving Related Occupations
35-2014,"Cooks, Restaurant",27790,Food Preparation and Serving Related Occupations
35-2015,"Cooks, Short Order",25150,Food Preparation and Serving Related Occupations
35-2019,"Cooks, All Other",30760,Food Preparation and Serving Related Occupations
35-2020,Food Preparation Workers,24800,Food Preparation and Serving Related Occupations
35-2021,Food Preparation Workers,24800,Food Preparation and Serving Related Occupations
35-3000,Food and Beverage Serving Workers,22930,Food Preparation and Serving Related Occupations
35-3010,Bartenders,23680,Food Preparation and Serving Related Occupations
35-3011,Bartenders,23680,Food Preparation and Serving Related Occupations
35-3020,Fast Food and Counter Workers,22740,Food Preparation and Serving Related Occupations
35-3023,Fast Food and Counter Workers,22740,Food Preparation and Serving Related Occupations
35-3030,Waiters and Waitresses,22890,Food Preparation and Serving Related Occupations
35-3031,Waiters and Waitresses,22890,Food Preparation and Serving Related Occupations
35-3040,"Food Servers, Nonrestaurant",24430,Food Preparation and Serving Related Occupations
35-3041,"Food Servers, Nonrestaurant",24430,Food Preparation and Serving Related Occupations
35-9000,Other Food Preparation and Serving Related Workers,23650,Food Preparation and Serving Related Occupations
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,23470,Food Preparation and Serving Related Occupations
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,23470,Food Preparation and Serving Related Occupations
35-9020,Dishwashers,23970,Food Preparation and Serving Related Occupations
35-9021,Dishwashers,23970,Food Preparation and Serving Related Occupations
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",23090,Food Preparation and Serving Related Occupations
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",23090,Food Preparation and Serving Related Occupations
35-9090,Miscellaneous Food Preparation and Serving Related Workers,24970,Food Preparation and Serving Related Occupations
35-9099,"Food Preparation and Serving Related Workers, All Other",24970,Food Preparation and Serving Related Occupations
37-0000,Building and Grounds Cleaning and Maintenance Occupations,28330,Building and Grounds Cleaning and Maintenance Occupations
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,44490,Building and Grounds Cleaning and Maintenance Occupations
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,44490,Building and Grounds Cleaning and Maintenance Occupations
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,40780,Building and Grounds Cleaning and Maintenance Occupations
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",49370,Building and Grounds Cleaning and Maintenance Occupations
37-2000,Building Cleaning and Pest Control Workers,26570,Building and Grounds Cleaning and Maintenance Occupations
37-2010,Building Cleaning Workers,26370,Building and Grounds Cleaning and Maintenance Occupations
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",27430,Building and Grounds Cleaning and Maintenance Occupations
37-2012,Maids and Housekeeping Cleaners,24850,Building and Grounds Cleaning and Maintenance Occupations
37-2019,"Building Cleaning Workers, All Other",31230,Building and Grounds Cleaning and Maintenance Occupations
37-2020,Pest Control Workers,37330,Building and Grounds Cleaning and Maintenance Occupations
37-2021,Pest Control Workers,37330,Building and Grounds Cleaning and Maintenance Occupations
37-3000,Grounds Maintenance Workers,30890,Building and Grounds Cleaning and Maintenance Occupations
37-3010,Grounds Maintenance Workers,30890,Building and Grounds Cleaning and Maintenance Occupations
37-3011,Landscaping and Groundskeeping Workers,30440,Building and Grounds Cleaning and Maintenance Occupations
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",35840,Building and Grounds Cleaning and Maintenance Occupations
37-3013,Tree Trimmers and Pruners,39980,Building and Grounds Cleaning and Maintenance Occupations
37-3019,"Grounds Maintenance Workers, All Other",32090,Building and Grounds Cleaning and Maintenance Occupations
39-0000,Personal Care and Service Occupations,26220,Personal Care and Service Occupations
39-1000,Supervisors of Personal Care and Service Workers,40930,Personal Care and Service Occupations
39-1013,First-Line Supervisors of Gambling Services Workers,50710,Personal Care and Service Occupations
39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",39800,Personal Care and Service Occupations
39-2000,Animal Care and Service Workers,24990,Personal Care and Service Occupations
39-2010,Animal Trainers,30430,Personal Care and Service Occupations
39-2011,Animal Trainers,30430,Personal Care and Service Occupations
39-2020,Animal Caretakers,24780,Personal Care and Service Occupations
39-2021,Animal Caretakers,24780,Personal Care and Service Occupations
39-3000,Entertainment Attendants and Related Workers,23260,Personal Care and Service Occupations
39-3010,Gambling Services Workers,21730,Personal Care and Service Occupations
39-3011,Gambling Dealers,21260,Personal Care and Service Occupations
39-3012,Gambling and Sports Book Writers and Runners,24750,Personal Care and Service Occupations
39-3019,"Gambling Service Workers, All Other",28300,Personal Care and Service Occupations
39-3020,Motion Picture Projectionists,25150,Personal Care and Service Occupations
39-3021,Motion Picture Projectionists,25150,Personal Care and Service Occupations
39-3030,"Ushers, Lobby Attendants, and Ticket Takers",23500,Personal Care and Service Occupations
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",23500,Personal Care and Service Occupations
39-3090,Miscellaneous Entertainment Attendants and Related Workers,23550,Personal Care and Service Occupations
39-3091,Amusement and Recreation Attendants,23370,Personal Care and Service Occupations
39-3092,Costume Attendants,41410,Personal Care and Service Occupations
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",25110,Personal Care and Service Occupations
39-3099,"Entertainment Attendants and Related Workers, All Other",26460,Personal Care and Service Occupations
39-4011,Embalmers,47760,Personal Care and Service Occupations
39-4020,Funeral Attendants,27930,Personal Care and Service Occupations
39-4021,Funeral Attendants,27930,Personal Care and Service Occupations
39-4030,"Morticians, Undertakers, and Funeral Arrangers",54150,Personal Care and Service Occupations
39-4031,"Morticians, Undertakers, and Funeral Arrangers",54150,Personal Care and Service Occupations
39-5000,Personal Appearance Workers,26430,Personal Care and Service Occupations
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",26270,Personal Care and Service Occupations
39-5011,Barbers,30150,Personal Care and Service Occupations
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",26090,Personal Care and Service Occupations
39-5090,Miscellaneous Personal Appearance Workers,26680,Personal Care and Service Occupations
39-5091,"Makeup Artists, Theatrical and Performance",75730,Personal Care and Service Occupations
39-5092,Manicurists and Pedicurists,25770,Personal Care and Service Occupations
39-5093,Shampooers,22550,Personal Care and Service Occupations
39-5094,Skincare Specialists,34090,Personal Care and Service Occupations
39-6000,"Baggage Porters, Bellhops, and Concierges",28550,Personal Care and Service Occupations
39-6010,"Baggage Porters, Bellhops, and Concierges",28550,Personal Care and Service Occupations
39-6011,Baggage Porters and Bellhops,25580,Personal Care and Service Occupations
39-6012,Concierges,31390,Personal Care and Service Occupations
39-7000,Tour and Travel Guides,27600,Personal Care and Service Occupations
39-9010,Childcare Workers,24230,Personal Care and Service Occupations
39-9011,Childcare Workers,24230,Personal Care and Service Occupations
39-9030,Recreation and Fitness Workers,30490,Personal Care and Service Occupations
39-9031,Exercise Trainers and Group Fitness Instructors,40390,Personal Care and Service Occupations
39-9032,Recreation Workers,26350,Personal Care and Service Occupations
39-9040,Residential Advisors,29450,Personal Care and Service Occupations
39-9041,Residential Advisors,29450,Personal Care and Service Occupations
39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",27130,Personal Care and Service Occupations
41-0000,Sales and Related Occupations,29630,Sales and Related Occupations
41-1000,Supervisors of Sales Workers,44250,Sales and Related Occupations
41-1010,First-Line Supervisors of Sales Workers,44250,Sales and Related Occupations
41-1011,First-Line Supervisors of Retail Sales Workers,40350,Sales and Related Occupations
41-1012,First-Line Supervisors of Non-Retail Sales Workers,74760,Sales and Related Occupations
41-2000,Retail Sales Workers,24630,Sales and Related Occupations
41-2010,Cashiers,23660,Sales and Related Occupations
41-2011,Cashiers,23650,Sales and Related Occupations
41-2012,Gambling Change Persons and Booth Cashiers,25690,Sales and Related Occupations
41-2020,Counter and Rental Clerks and Parts Salespersons,29860,Sales and Related Occupations
41-2021,Counter and Rental Clerks,28820,Sales and Related Occupations
41-2022,Parts Salespersons,31710,Sales and Related Occupations
41-2030,Retail Salespersons,25250,Sales and Related Occupations
41-2031,Retail Salespersons,25250,Sales and Related Occupations
41-3000,"Sales Representatives, Services",55370,Sales and Related Occupations
41-3010,Advertising Sales Agents,53310,Sales and Related Occupations
41-3011,Advertising Sales Agents,53310,Sales and Related Occupations
41-3020,Insurance Sales Agents,50940,Sales and Related Occupations
41-3021,Insurance Sales Agents,50940,Sales and Related Occupations
41-3030,"Securities, Commodities, and Financial Services Sales Agents",62270,Sales and Related Occupations
41-3031,"Securities, Commodities, and Financial Services Sales Agents",62270,Sales and Related Occupations
41-3040,Travel Agents,40660,Sales and Related Occupations
41-3041,Travel Agents,40660,Sales and Related Occupations
41-3090,"Miscellaneous Sales Representatives, Services",56130,Sales and Related Occupations
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",56130,Sales and Related Occupations
41-4000,"Sales Representatives, Wholesale and Manufacturing",63000,Sales and Related Occupations
41-4010,"Sales Representatives, Wholesale and Manufacturing",63000,Sales and Related Occupations
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",81020,Sales and Related Occupations
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",59930,Sales and Related Occupations
41-9000,Other Sales and Related Workers,37220,Sales and Related Occupations
41-9010,"Models, Demonstrators, and Product Promoters",30890,Sales and Related Occupations
41-9011,Demonstrators and Product Promoters,30930,Sales and Related Occupations
41-9012,Models,28350,Sales and Related Occupations
41-9020,Real Estate Brokers and Sales Agents,50730,Sales and Related Occupations
41-9021,Real Estate Brokers,59720,Sales and Related Occupations
41-9022,Real Estate Sales Agents,48930,Sales and Related Occupations
41-9030,Sales Engineers,103900,Sales and Related Occupations
41-9031,Sales Engineers,103900,Sales and Related Occupations
41-9040,Telemarketers,26290,Sales and Related Occupations
41-9041,Telemarketers,26290,Sales and Related Occupations
41-9090,Miscellaneous Sales and Related Workers,31480,Sales and Related Occupations
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",27420,Sales and Related Occupations
41-9099,"Sales and Related Workers, All Other",31820,Sales and Related Occupations
